SystemID,Category
CA3610061,General purpose government
CA0910010,Public ancillary
CA3400468,Public ancillary
CA2600633,Public ancillary
CA4810037,Public ancillary
CA3301566,Public ancillary
CA1502247,General purpose government
CA3610060,General purpose government
CA1700516,General purpose government
CA1700544,General purpose government
CA1700563,General purpose government
CA1700574,General purpose government
CA4500001,General purpose government
CA3610118,IOU
CA2010013,IOU
CA5700712,IOU
CA2010014,IOU
CA2010007,IOU
CA2010012,IOU
CA3410023,IOU
CA5610010,IOU
CA4910024,IOU
CA0600011,IOU
CA1700530,IOU
CA5400553,IOU
CA4500022,IOU
CA1100404,IOU
CA5200574,IOU
CA4010040,IOU
CA3010070,IOU
CA3600010,IOU
CA5200657,IOU
CA4300504,IOU
CA3100029,IOU
CA3110013,IOU
CA5400651,Nonprofit private
CA3400332,Nonprofit private
CA5410033,Nonprofit private
CA1900009,Nonprofit private
CA2800538,Nonprofit private
CA3301276,Nonprofit private
CA1700542,Nonprofit private
CA1700552,Nonprofit private
CA5400957,Nonprofit private
CA3301735,Nonprofit private
CA3301046,Nonprofit private
CA5301003,Nonprofit private
CA1910141,Nonprofit private
CA3110043,Nonprofit private
NA,Domestic wells
NA,Domestic wells
CA5403038,Private - type unknown
CA5403202,Private - type unknown
CA5403149,Private - type unknown
CA5700649,Private - type unknown
CA1700526,Private - type unknown
CA3302093,Private - type unknown
CA0707558,Private - type unknown
CA1910241,Private - type unknown
CA1300611,Private - type unknown
CA4900786,Private ancillary
CA3400140,Private ancillary
CA5400507,Private ancillary
CA3900726,Private ancillary
CA2202048,Private ancillary
CA5000077,Private ancillary
CA1500508,Private ancillary
CA5200516,Private ancillary
CA1200698,Private ancillary
CA1000248,Private ancillary
CA2800548,Private ancillary
CA3400352,Private ancillary
CA3303100,Private ancillary
CA5400966,Private ancillary
CA0707602,Private ancillary
CA4500084,Private ancillary
CA3601055,Private ancillary
CA3500526,Private ancillary
CA0310020,Private ancillary
CA5000086,Private ancillary
CA5000051,Private ancillary
CA5000057,Private ancillary
CA5000085,Private ancillary
CA1700581,Private ancillary
CA5201137,Private ancillary
CA5200550,Private ancillary
CA5800807,Private ancillary
CA4000512,Private ancillary
CA3110033,Private ancillary
CA4900676,Private ancillary
CA4900855,Private ancillary
CA0900655,Private ancillary
CA0900539,Private ancillary
CA2410008,Private ancillary
CA2702624,Private ancillary
CA3901334,Private ancillary
CA3705026,Private ancillary
CA3901330,Private ancillary
CA0706108,Private ancillary
CA0707557,Private ancillary
CA5000308,Private ancillary
CA5000484,Private ancillary
CA1000624,Private ancillary
CA1000496,Private ancillary
CA1000646,Private ancillary
CA1000512,Private ancillary
CA3900810,Private ancillary
CA2400346,Private ancillary
CA3601094,Private ancillary
CA5000271,Private ancillary
CA4901389,Private ancillary
CA5400600,Private ancillary
CA3400198,Private ancillary
CA4000743,Private ancillary
CA5601206,Private ancillary
CA4901439,Private ancillary
CA4901410,Private ancillary
CA5700600,Private ancillary
CA5403010,Private ancillary
CA5700770,Private ancillary
CA5100176,Private ancillary
CA5105009,Private ancillary
CA3303085,Private ancillary
CA5400570,Private ancillary
CA3303012,Private ancillary
CA3601060,Private ancillary
CA0900108,Private ancillary
CA1600296,Private ancillary
CA2000578,Private ancillary
CA3302027,Private ancillary
CA4900922,Private ancillary
CA5000570,Private ancillary
CA5000217,Private ancillary
CA1900122,Private ancillary
CA4500136,Private ancillary
CA3600316,Private ancillary
CA2000203,Private ancillary
CA3301206,Private ancillary
CA5402043,Private ancillary
CA0900211,Private ancillary
CA2902376,Private ancillary
CA3103257,Private ancillary
CA4000726,Private ancillary
CA4000728,Private ancillary
CA4000711,Private ancillary
CA3000852,Private ancillary
CA4200959,Private ancillary
CA3400412,Private ancillary
CA5402039,Private ancillary
CA4901195,Private ancillary
CA0900636,Private ancillary
CA0900548,Private ancillary
CA0900555,Private ancillary
CA0900586,Private ancillary
CA0900666,Private ancillary
CA0900673,Private ancillary
CA0900579,Private ancillary
CA0900581,Private ancillary
CA2801045,Private ancillary
CA4901311,Private ancillary
CA1502664,Private ancillary
CA4901387,Private ancillary
CA4210700,Public ancillary
CA4810701,Public ancillary
CA5500157,Public ancillary
CA2210518,Public ancillary
CA4900890,Public ancillary
CA1000207,Public ancillary
CA1000276,Public ancillary
CA2400176,Public ancillary
CA3301153,Public ancillary
CA0400066,Public ancillary
CA3400249,Public ancillary
CA1000112,Public ancillary
CA1502163,Public ancillary
CA1900912,Public ancillary
CA4200647,Public ancillary
CA2000614,Public ancillary
CA3303081,Public ancillary
CA1600048,Public ancillary
CA3901035,Public ancillary
CA2900540,Public ancillary
CA3600125,Public ancillary
CA1600008,Public ancillary
CA0900646,Public ancillary
CA1000285,Public ancillary
CA3610853,Public ancillary
CA2710706,Public ancillary
CA2410306,Public ancillary
CA2410307,Public ancillary
CA1310017,Public ancillary
CA4910202,Public ancillary
CA2905004,Public ancillary
CA1310011,Special district
CA4410015,Special district
CA3010055,Special district
CA0310015,Special district
CA3210008,Special district
CA0400091,Special district
CA1805009,Special district
CA2910007,Special district
CA3310015,Special district
CA1510041,Special district
CA3400359,Special district
CA1700501,Special district
CA1502724,Special district